Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402",-37.156250,109.900000,180.000000,bottom
"C2","1uF","C_0402",-39.456250,111.100000,180.000000,bottom
"C3","0.1 uF","C_0402",-75.756250,102.500000,-90.000000,bottom
"C4","1uF","C_0402",-52.756250,105.900000,90.000000,bottom
"C5","1uF","C_0402",-58.556250,103.500000,180.000000,bottom
"C6","30pF","C_0402",-56.706250,99.025000,90.000000,bottom
"C7","30pF","C_0402",-50.106250,98.525000,0.000000,bottom
"C8","100nF","C_0402",-37.156250,111.100000,180.000000,bottom
"C9","100nF","C_0402",-36.556250,108.700000,180.000000,bottom
"C10","100nF","C_0402",-35.756250,106.300000,180.000000,bottom
"C11","100nF","C_0402",-45.156250,98.525000,0.000000,bottom
"C12","100nF","C_0402",-50.956250,104.700000,90.000000,bottom
"C13","100nF","C_0402",-50.956250,107.156250,90.000000,bottom
"C14","100nF","C_0402",-55.356250,112.700000,180.000000,bottom
"C15","100nF","C_0402",-36.556250,107.500000,180.000000,bottom
"C16","100nF","C_0402",-50.956250,112.700000,0.000000,bottom
"C17","100nF","C_0402",-42.756250,99.300000,-90.000000,bottom
"C18","0.1 uF","C_0402",-28.356250,99.125000,-90.000000,bottom
"D1","1N4148W","D_SOD123",-27.781250,82.550000,90.000000,bottom
"D2","1N4148W","D_SOD123",-41.275000,82.550000,90.000000,bottom
"D3","1N4148W","D_SOD123",-56.356250,82.550000,90.000000,bottom
"D4","1N4148W","D_SOD123",-74.612500,82.550000,90.000000,bottom
"D5","1N4148W","D_SOD123",-27.781250,63.500000,90.000000,bottom
"D6","1N4148W","D_SOD123",-41.275000,63.500000,90.000000,bottom
"D7","1N4148W","D_SOD123",-56.356250,63.500000,90.000000,bottom
"D8","1N4148W","D_SOD123",-60.325000,63.500000,90.000000,bottom
"D9","1N4148W","D_SOD123",-27.781250,44.450000,90.000000,bottom
"D10","1N4148W","D_SOD123",-41.275000,44.450000,90.000000,bottom
"D11","1N4148W","D_SOD123",-56.356250,44.450000,90.000000,bottom
"D12","1N4148W","D_SOD123",-60.325000,44.450000,90.000000,bottom
"D13","1N4148W","D_SOD123",-27.781250,25.400000,90.000000,bottom
"D14","1N4148W","D_SOD123",-41.275000,25.400000,90.000000,bottom
"D15","1N4148W","D_SOD123",-56.356250,25.400000,90.000000,bottom
"D16","1N4148W","D_SOD123",-60.325000,25.400000,90.000000,bottom
"D17","1N4148W","D_SOD123",-12.700000,10.925000,90.000000,bottom
"D18","1N4148W","D_SOD123",-41.275000,7.143750,90.000000,bottom
"D19","1N4148W","D_SOD123",-46.037500,7.143750,90.000000,bottom
"D20","1N4148W","D_SOD123",-74.612500,10.925000,90.000000,bottom
"D21","Schottky 5819W","D_SOD123",-17.756250,108.725000,90.000000,bottom
"D22","Power LED (Blue)","R_0805",-57.756250,108.100000,0.000000,bottom
"D23","1N4148W","D_SOD123",-60.325000,82.550000,90.000000,bottom
"F1","TLC_PSMD050","Fuse_0805",-17.756250,103.500000,0.000000,bottom
"FB1","100@100MHz","L_0805_2012Metric",-54.156250,108.100000,0.000000,bottom
"R1","27 ohm","R_0603",-30.356250,109.100000,-90.000000,bottom
"R2","27 ohm","R_0603",-32.156250,109.100000,-90.000000,bottom
"R3","1k ohm","R_0402",-50.206250,100.025000,180.000000,bottom
"R4","10k ohm","R_0402",-69.056250,103.050000,180.000000,bottom
"R5","1k ohm","R_0402",-67.056250,103.050000,180.000000,bottom
"R6","5.1k","R_0402",-27.556250,105.500000,0.000000,bottom
"R7","5.1k","R_0402",-21.756250,105.500000,180.000000,bottom
"R8","10k ohm","R_0402",-28.356250,101.525000,90.000000,bottom
"R9","1k5 ohm","R_0402",-58.956250,105.100000,90.000000,bottom
"R10","4.7k","R_0402",-63.156250,104.900000,90.000000,bottom
"R11","4.7k","R_0402",-63.156250,102.900000,-90.000000,bottom
"U3","XC6206PxxxMR","SOT-23",-55.356250,105.300000,180.000000,bottom
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",-72.231250,107.156250,0.000000,bottom
"U5","USB Boot","3x4x2.5mm Micro Switch",-62.706250,99.125000,0.000000,bottom
"U6","Reset","3x4x2.5mm Micro Switch",-24.606250,99.125000,0.000000,bottom
"Y1","12MHz - 20pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",-53.406250,99.525000,180.000000,bottom
